Date,Product Category,Quantity Sold,Price per Unit,Total Price
10/01/2022,Furniture,7,38,266
10/01/2022,Furniture,9,29,261
10/01/2022,Furniture,10,9.5,95
11/01/2022,Milk Products,1,6.5,6.5
11/01/2022,Furniture,4,33.5,134
11/01/2022,Electric household essentials,5,18.5,92.5
11/01/2022,Butchers,6,8,48
11/01/2022,Furniture,6,24.5,147
11/01/2022,Butchers,7,39.5,276.5
11/01/2022,Beverages,8,6.5,52
11/01/2022,Butchers,8,21.5,172
11/01/2022,Beverages,8,26,208
11/01/2022,Butchers,8,26,208
11/01/2022,Electric household essentials,8,36.5,292
11/01/2022,Electric household essentials,9,15.5,139.5
12/01/2022,Milk Products,2,36.5,73
12/01/2022,Butchers,3,38,114
12/01/2022,Computers and electric accessories,4,17,68
12/01/2022,Milk Products,5,32,160
12/01/2022,Patisserie,6,8,48
12/01/2022,Food,7,11,77
12/01/2022,Computers and electric accessories,7,21.5,150.5
12/01/2022,Computers and electric accessories,7,41,287
12/01/2022,Patisserie,8,26,208
12/01/2022,Computers and electric accessories,9,17,153
13/01/2022,Milk Products,1,20,20
13/01/2022,Patisserie,2,14,28
13/01/2022,Furniture,2,41,82
13/01/2022,Beverages,3,9.5,28.5
13/01/2022,Furniture,3,26,78
13/01/2022,Electric household essentials,3,32,96
13/01/2022,Milk Products,4,18.5,74
13/01/2022,Patisserie,4,29,116
13/01/2022,Computers and electric accessories,4,30.5,122
13/01/2022,Beverages,5,35,175
13/01/2022,Butchers,6,39.5,237
13/01/2022,Food,7,18.5,129.5
13/01/2022,Electric household essentials,7,23,161
13/01/2022,Furniture,8,11,88
13/01/2022,Butchers,9,32,288
13/01/2022,Beverages,9,36.5,328.5
13/01/2022,Computers and electric accessories,10,11,110
13/01/2022,Furniture,10,29,290
14/01/2022,Milk Products,1,8,8
14/01/2022,Beverages,1,39.5,39.5
14/01/2022,Furniture,3,20,60
14/01/2022,Food,5,11,55
14/01/2022,Electric household essentials,5,32,160
14/01/2022,Milk Products,5,32,160
14/01/2022,Computers and electric accessories,6,29,174
14/01/2022,Patisserie,6,39.5,237
14/01/2022,Computers and electric accessories,7,14,98
14/01/2022,Milk Products,8,12.5,100
14/01/2022,Furniture,9,26,234
14/01/2022,Milk Products,9,26,234
14/01/2022,Food,10,17,170
14/01/2022,Furniture,10,27.5,275
14/01/2022,Electric household essentials,10,32,320
14/01/2022,Beverages,10,38,380
15/01/2022,Electric household essentials,2,36.5,73
15/01/2022,Butchers,3,5,15
15/01/2022,Beverages,4,38,152
15/01/2022,Patisserie,5,38,190
15/01/2022,Patisserie,6,6.5,39
15/01/2022,Milk Products,6,12.5,75
15/01/2022,Electric household essentials,6,15.5,93
15/01/2022,Electric household essentials,6,29,174
15/01/2022,Butchers,8,36.5,292
15/01/2022,Furniture,9,11,99
15/01/2022,Patisserie,10,32,320
16/01/2022,Computers and electric accessories,2,21.5,43
16/01/2022,Butchers,2,38,76
16/01/2022,Electric household essentials,4,12.5,50
16/01/2022,Furniture,4,20,80
16/01/2022,Beverages,5,24.5,122.5
16/01/2022,Beverages,5,24.5,122.5
16/01/2022,Furniture,6,26,156
16/01/2022,Patisserie,6,29,174
16/01/2022,Computers and electric accessories,10,33.5,335
17/01/2022,Electric household essentials,2,15.5,31
17/01/2022,Patisserie,2,29,58
17/01/2022,Milk Products,2,35,70
17/01/2022,Beverages,2,39.5,79
17/01/2022,Furniture,4,21.5,86
17/01/2022,Milk Products,5,27.5,137.5
17/01/2022,Beverages,6,33.5,201
17/01/2022,Patisserie,8,21.5,172
17/01/2022,Food,8,21.5,172
17/01/2022,Food,8,36.5,292
17/01/2022,Milk Products,10,39.5,395
18/01/2022,Butchers,2,8,16
18/01/2022,Butchers,2,21.5,43
18/01/2022,Patisserie,3,20,60
18/01/2022,Computers and electric accessories,3,23,69
18/01/2022,Patisserie,4,18.5,74
18/01/2022,Beverages,6,32,192
18/01/2022,Food,9,33.5,301.5
18/01/2022,Food,10,21.5,215
18/01/2022,Food,10,29,290
18/01/2022,Patisserie,10,29,290
18/01/2022,Computers and electric accessories,10,30.5,305
19/01/2022,Electric household essentials,3,30.5,91.5
19/01/2022,Patisserie,4,12.5,50
19/01/2022,Electric household essentials,4,41,164
19/01/2022,Patisserie,5,33.5,167.5
19/01/2022,Computers and electric accessories,6,6.5,39
19/01/2022,Beverages,6,32,192
19/01/2022,Patisserie,7,38,266
19/01/2022,Butchers,9,9.5,85.5
19/01/2022,Food,10,23,230
19/01/2022,Furniture,10,41,410
20/01/2022,Food,2,30.5,61
20/01/2022,Food,2,41,82
20/01/2022,Beverages,3,29,87
20/01/2022,Computers and electric accessories,4,36.5,146
20/01/2022,Food,5,11,55
20/01/2022,Beverages,5,20,100
20/01/2022,Electric household essentials,6,32,192
20/01/2022,Beverages,6,32,192
20/01/2022,Food,7,12.5,87.5
20/01/2022,Computers and electric accessories,8,15.5,124
20/01/2022,Electric household essentials,8,23,184
20/01/2022,Butchers,9,21.5,193.5
20/01/2022,Milk Products,10,8,80
21/01/2022,Electric household essentials,1,33.5,33.5
21/01/2022,Food,1,41,41
21/01/2022,Butchers,2,6.5,13
21/01/2022,Furniture,2,9.5,19
21/01/2022,Patisserie,2,24.5,49
21/01/2022,Milk Products,2,36.5,73
21/01/2022,Electric household essentials,5,17,85
21/01/2022,Furniture,5,26,130
21/01/2022,Electric household essentials,5,33.5,167.5
21/01/2022,Patisserie,6,5,30
21/01/2022,Electric household essentials,6,20,120
21/01/2022,Butchers,6,38,228
21/01/2022,Butchers,7,27.5,192.5
21/01/2022,Beverages,7,39.5,276.5
21/01/2022,Computers and electric accessories,8,17,136
21/01/2022,Beverages,8,21.5,172
21/01/2022,Electric household essentials,9,15.5,139.5
21/01/2022,Furniture,9,20,180
21/01/2022,Patisserie,10,29,290
22/01/2022,Milk Products,2,12.5,25
22/01/2022,Furniture,5,27.5,137.5
22/01/2022,Computers and electric accessories,5,29,145
22/01/2022,Computers and electric accessories,5,38,190
22/01/2022,Furniture,6,39.5,237
22/01/2022,Beverages,9,27.5,247.5
22/01/2022,Butchers,10,27.5,275
23/01/2022,Butchers,1,36.5,36.5
23/01/2022,Food,3,9.5,28.5
23/01/2022,Furniture,3,41,123
23/01/2022,Patisserie,4,20,80
23/01/2022,Furniture,4,39.5,158
23/01/2022,Furniture,5,12.5,62.5
23/01/2022,Butchers,6,11,66
23/01/2022,Furniture,6,23,138
23/01/2022,Milk Products,7,8,56
23/01/2022,Butchers,7,23,161
23/01/2022,Butchers,7,23,161
23/01/2022,Electric household essentials,7,26,182
23/01/2022,Food,7,35,245
23/01/2022,Milk Products,8,20,160
23/01/2022,Butchers,8,26,208
23/01/2022,Electric household essentials,9,27.5,247.5
23/01/2022,Milk Products,10,5,50
23/01/2022,Furniture,10,24.5,245
24/01/2022,Furniture,1,41,41
24/01/2022,Computers and electric accessories,4,21.5,86
24/01/2022,Butchers,5,12.5,62.5
24/01/2022,Milk Products,5,29,145
24/01/2022,Computers and electric accessories,5,30.5,152.5
24/01/2022,Electric household essentials,6,15.5,93
24/01/2022,Computers and electric accessories,6,20,120
24/01/2022,Computers and electric accessories,7,27.5,192.5
24/01/2022,Computers and electric accessories,7,32,224
24/01/2022,Milk Products,7,36.5,255.5
25/01/2022,Computers and electric accessories,1,12.5,12.5
25/01/2022,Milk Products,4,32,128
25/01/2022,Milk Products,4,39.5,158
25/01/2022,Food,5,15.5,77.5
25/01/2022,Patisserie,5,21.5,107.5
25/01/2022,Patisserie,8,23,184
26/01/2022,Food,3,29,87
26/01/2022,Computers and electric accessories,3,33.5,100.5
26/01/2022,Furniture,5,11,55
26/01/2022,Milk Products,5,39.5,197.5
26/01/2022,Butchers,6,30.5,183
26/01/2022,Electric household essentials,6,38,228
26/01/2022,Beverages,7,27.5,192.5
26/01/2022,Computers and electric accessories,7,30.5,213.5
26/01/2022,Butchers,8,26,208
26/01/2022,Computers and electric accessories,9,24.5,220.5
26/01/2022,Butchers,9,26,234
26/01/2022,Patisserie,9,39.5,355.5
26/01/2022,Food,10,12.5,125
26/01/2022,Patisserie,10,30.5,305
27/01/2022,Beverages,3,33.5,100.5
27/01/2022,Furniture,3,33.5,100.5
27/01/2022,Patisserie,6,20,120
27/01/2022,Milk Products,7,23,161
27/01/2022,Patisserie,8,11,88
27/01/2022,Milk Products,8,24.5,196
27/01/2022,Patisserie,9,20,180
27/01/2022,Furniture,10,12.5,125
28/01/2022,Computers and electric accessories,1,29,29
28/01/2022,Food,4,11,44
28/01/2022,Computers and electric accessories,4,26,104
28/01/2022,Patisserie,8,33.5,268
28/01/2022,Patisserie,9,32,288
28/01/2022,Furniture,10,26,260
28/01/2022,Furniture,10,38,380
28/01/2022,Food,10,41,410
29/01/2022,Furniture,1,11,11
29/01/2022,Food,3,9.5,28.5
29/01/2022,Food,6,20,120
29/01/2022,Food,7,17,119
29/01/2022,Milk Products,8,36.5,292
29/01/2022,Computers and electric accessories,9,29,261
29/01/2022,Butchers,9,30.5,274.5
29/01/2022,Milk Products,10,20,200
29/01/2022,Furniture,10,35,350
30/01/2022,Beverages,1,15.5,15.5
30/01/2022,Computers and electric accessories,3,35,105
30/01/2022,Milk Products,4,8,32
30/01/2022,Furniture,4,26,104
30/01/2022,Butchers,5,6.5,32.5
30/01/2022,Computers and electric accessories,5,15.5,77.5
30/01/2022,Butchers,6,12.5,75
30/01/2022,Computers and electric accessories,6,26,156
30/01/2022,Butchers,6,32,192
30/01/2022,Food,7,8,56
30/01/2022,Beverages,9,11,99
30/01/2022,Computers and electric accessories,9,12.5,112.5
30/01/2022,Butchers,10,21.5,215
30/01/2022,Butchers,10,26,260
31/01/2022,Butchers,2,8,16
31/01/2022,Beverages,3,33.5,100.5
31/01/2022,Butchers,4,32,128
31/01/2022,Milk Products,5,5,25
31/01/2022,Electric household essentials,7,27.5,192.5
31/01/2022,Electric household essentials,9,21.5,193.5
31/01/2022,Beverages,9,33.5,301.5
31/01/2022,Electric household essentials,9,36.5,328.5
31/01/2022,Butchers,10,21.5,215
31/01/2022,Food,10,23,230
31/01/2022,Beverages,10,24.5,245
31/01/2022,Butchers,10,33.5,335
01/02/2022,Computers and electric accessories,1,17,17
01/02/2022,Patisserie,3,6.5,19.5
01/02/2022,Furniture,4,27.5,110
01/02/2022,Milk Products,4,32,128
01/02/2022,Milk Products,5,8,40
01/02/2022,Butchers,5,21.5,107.5
01/02/2022,Food,6,9.5,57
01/02/2022,Patisserie,6,39.5,237
01/02/2022,Furniture,7,39.5,276.5
01/02/2022,Furniture,8,38,304
01/02/2022,Furniture,9,5,45
01/02/2022,Butchers,9,8,72
02/02/2022,Furniture,1,35,35
02/02/2022,Furniture,2,5,10
02/02/2022,Patisserie,2,12.5,25
02/02/2022,Electric household essentials,3,17,51
02/02/2022,Computers and electric accessories,3,23,69
02/02/2022,Electric household essentials,3,35,105
02/02/2022,Butchers,3,41,123
02/02/2022,Furniture,5,29,145
02/02/2022,Furniture,5,41,205
02/02/2022,Beverages,7,14,98
02/02/2022,Food,7,18.5,129.5
02/02/2022,Electric household essentials,7,41,287
02/02/2022,Butchers,7,41,287
02/02/2022,Computers and electric accessories,8,21.5,172
02/02/2022,Butchers,10,12.5,125
02/02/2022,Milk Products,10,14,140
02/02/2022,Computers and electric accessories,10,24.5,245
03/02/2022,Furniture,1,35,35
03/02/2022,Food,5,30.5,152.5
03/02/2022,Butchers,5,33.5,167.5
03/02/2022,Patisserie,7,21.5,150.5
03/02/2022,Electric household essentials,8,38,304
03/02/2022,Beverages,8,41,328
04/02/2022,Beverages,2,24.5,49
04/02/2022,Furniture,5,11,55
04/02/2022,Beverages,6,17,102
04/02/2022,Furniture,6,18.5,111
04/02/2022,Milk Products,6,29,174
04/02/2022,Beverages,9,24.5,220.5
04/02/2022,Milk Products,9,27.5,247.5
04/02/2022,Computers and electric accessories,10,5,50
04/02/2022,Milk Products,10,32,320
05/02/2022,Food,1,6.5,6.5
05/02/2022,Butchers,1,14,14
05/02/2022,Butchers,1,23,23
05/02/2022,Milk Products,2,32,64
05/02/2022,Butchers,2,38,76
05/02/2022,Furniture,3,11,33
05/02/2022,Furniture,5,26,130
05/02/2022,Beverages,6,12.5,75
05/02/2022,Furniture,8,11,88
06/02/2022,Furniture,2,11,22
06/02/2022,Food,2,39.5,79
06/02/2022,Furniture,4,6.5,26
06/02/2022,Patisserie,4,38,152
06/02/2022,Food,5,14,70
06/02/2022,Milk Products,6,14,84
06/02/2022,Furniture,6,20,120
06/02/2022,Beverages,7,30.5,213.5
06/02/2022,Butchers,7,39.5,276.5
06/02/2022,Butchers,7,41,287
06/02/2022,Milk Products,8,8,64
06/02/2022,Food,10,23,230
07/02/2022,Electric household essentials,1,23,23
07/02/2022,Furniture,3,39.5,118.5
07/02/2022,Patisserie,5,35,175
07/02/2022,Milk Products,6,9.5,57
07/02/2022,Beverages,6,32,192
07/02/2022,Butchers,7,36.5,255.5
07/02/2022,Milk Products,8,32,256
07/02/2022,Furniture,9,30.5,274.5
07/02/2022,Electric household essentials,10,35,350
08/02/2022,Computers and electric accessories,1,18.5,18.5
08/02/2022,Electric household essentials,2,20,40
08/02/2022,Beverages,2,27.5,55
08/02/2022,Food,3,18.5,55.5
08/02/2022,Patisserie,4,11,44
08/02/2022,Computers and electric accessories,6,5,30
08/02/2022,Computers and electric accessories,7,5,35
08/02/2022,Beverages,8,29,232
08/02/2022,Milk Products,8,29,232
08/02/2022,Computers and electric accessories,9,38,342
09/02/2022,Milk Products,1,6.5,6.5
09/02/2022,Food,1,27.5,27.5
09/02/2022,Milk Products,1,32,32
09/02/2022,Butchers,1,39.5,39.5
09/02/2022,Food,3,18.5,55.5
09/02/2022,Patisserie,6,32,192
09/02/2022,Butchers,6,35,210
09/02/2022,Furniture,7,20,140
09/02/2022,Beverages,8,8,64
09/02/2022,Patisserie,8,14,112
09/02/2022,Patisserie,10,24.5,245
09/02/2022,Electric household essentials,10,38,380
10/02/2022,Milk Products,1,38,38
10/02/2022,Patisserie,2,14,28
10/02/2022,Food,3,18.5,55.5
10/02/2022,Computers and electric accessories,3,29,87
10/02/2022,Patisserie,3,36.5,109.5
10/02/2022,Patisserie,9,29,261
10/02/2022,Butchers,9,39.5,355.5
11/02/2022,Butchers,1,36.5,36.5
11/02/2022,Butchers,2,5,10
11/02/2022,Butchers,2,38,76
11/02/2022,Milk Products,3,20,60
11/02/2022,Furniture,4,17,68
11/02/2022,Computers and electric accessories,4,33.5,134
11/02/2022,Patisserie,4,41,164
11/02/2022,Food,5,9.5,47.5
11/02/2022,Milk Products,10,5,50
11/02/2022,Milk Products,10,15.5,155
11/02/2022,Food,10,36.5,365
12/02/2022,Beverages,1,14,14
12/02/2022,Electric household essentials,1,26,26
12/02/2022,Butchers,2,38,76
12/02/2022,Food,3,18.5,55.5
12/02/2022,Butchers,4,9.5,38
12/02/2022,Beverages,5,20,100
12/02/2022,Furniture,5,26,130
12/02/2022,Butchers,7,27.5,192.5
12/02/2022,Butchers,7,29,203
12/02/2022,Patisserie,7,39.5,276.5
12/02/2022,Furniture,8,35,280
12/02/2022,Furniture,8,38,304
12/02/2022,Computers and electric accessories,9,30.5,274.5
12/02/2022,Furniture,9,41,369
12/02/2022,Electric household essentials,10,27.5,275
13/02/2022,Furniture,1,29,29
13/02/2022,Patisserie,1,39.5,39.5
13/02/2022,Milk Products,2,15.5,31
13/02/2022,Patisserie,2,29,58
13/02/2022,Furniture,3,5,15
13/02/2022,Furniture,3,11,33
13/02/2022,Electric household essentials,4,23,92
13/02/2022,Food,6,23,138
13/02/2022,Butchers,10,21.5,215
13/02/2022,Furniture,10,26,260
13/02/2022,Electric household essentials,10,33.5,335
14/02/2022,Food,2,35,70
14/02/2022,Food,3,24.5,73.5
14/02/2022,Butchers,3,41,123
14/02/2022,Milk Products,5,38,190
14/02/2022,Beverages,6,6.5,39
14/02/2022,Computers and electric accessories,6,17,102
14/02/2022,Food,6,17,102
14/02/2022,Food,7,24.5,171.5
14/02/2022,Computers and electric accessories,8,12.5,100
14/02/2022,Butchers,8,20,160
14/02/2022,Electric household essentials,8,38,304
14/02/2022,Food,9,11,99
14/02/2022,Computers and electric accessories,9,11,99
14/02/2022,Electric household essentials,9,20,180
14/02/2022,Beverages,10,20,200
14/02/2022,Butchers,10,32,320
15/02/2022,Furniture,1,35,35
15/02/2022,Electric household essentials,3,36.5,109.5
15/02/2022,Computers and electric accessories,4,20,80
15/02/2022,Food,4,33.5,134
15/02/2022,Patisserie,5,24.5,122.5
15/02/2022,Furniture,6,18.5,111
15/02/2022,Electric household essentials,6,33.5,201
15/02/2022,Computers and electric accessories,8,11,88
15/02/2022,Patisserie,8,33.5,268
15/02/2022,Beverages,9,12.5,112.5
15/02/2022,Butchers,10,23,230
15/02/2022,Butchers,10,30.5,305
16/02/2022,Electric household essentials,1,12.5,12.5
16/02/2022,Patisserie,4,27.5,110
16/02/2022,Food,5,12.5,62.5
16/02/2022,Electric household essentials,5,23,115
16/02/2022,Beverages,7,17,119
16/02/2022,Beverages,7,17,119
16/02/2022,Food,8,8,64
17/02/2022,Patisserie,1,41,41
17/02/2022,Computers and electric accessories,3,11,33
17/02/2022,Food,4,36.5,146
17/02/2022,Patisserie,6,9.5,57
17/02/2022,Electric household essentials,6,21.5,129
17/02/2022,Electric household essentials,7,17,119
17/02/2022,Furniture,7,39.5,276.5
17/02/2022,Butchers,9,41,369
17/02/2022,Beverages,10,24.5,245
17/02/2022,Food,10,24.5,245
17/02/2022,Butchers,10,32,320
18/02/2022,Milk Products,1,9.5,9.5
18/02/2022,Electric household essentials,3,15.5,46.5
18/02/2022,Electric household essentials,4,21.5,86
18/02/2022,Beverages,4,27.5,110
18/02/2022,Milk Products,5,5,25
18/02/2022,Patisserie,6,23,138
18/02/2022,Furniture,7,5,35
18/02/2022,Butchers,7,27.5,192.5
18/02/2022,Milk Products,7,29,203
18/02/2022,Patisserie,8,14,112
18/02/2022,Butchers,8,15.5,124
18/02/2022,Furniture,9,24.5,220.5
18/02/2022,Beverages,10,21.5,215
18/02/2022,Patisserie,10,21.5,215
18/02/2022,Milk Products,10,23,230
18/02/2022,Furniture,10,24.5,245
18/02/2022,Food,10,39.5,395
19/02/2022,Patisserie,1,6.5,6.5
19/02/2022,Food,2,11,22
19/02/2022,Butchers,2,41,82
19/02/2022,Butchers,3,5,15
19/02/2022,Beverages,3,18.5,55.5
19/02/2022,Furniture,5,5,25
19/02/2022,Milk Products,6,5,30
19/02/2022,Patisserie,6,12.5,75
19/02/2022,Milk Products,6,12.5,75
19/02/2022,Milk Products,8,14,112
19/02/2022,Food,8,30.5,244
19/02/2022,Butchers,9,18.5,166.5
19/02/2022,Butchers,9,39.5,355.5
20/02/2022,Butchers,3,41,123
20/02/2022,Furniture,5,12.5,62.5
20/02/2022,Food,5,20,100
20/02/2022,Furniture,7,5,35
20/02/2022,Furniture,7,11,77
20/02/2022,Patisserie,7,29,203
20/02/2022,Electric household essentials,8,12.5,100
20/02/2022,Beverages,9,24.5,220.5
20/02/2022,Beverages,9,33.5,301.5
20/02/2022,Beverages,10,18.5,185
20/02/2022,Food,10,27.5,275
21/02/2022,Butchers,1,9.5,9.5
21/02/2022,Beverages,1,23,23
21/02/2022,Food,2,23,46
21/02/2022,Butchers,3,41,123
21/02/2022,Beverages,5,9.5,47.5
21/02/2022,Furniture,6,12.5,75
21/02/2022,Patisserie,6,29,174
21/02/2022,Beverages,6,41,246
21/02/2022,Beverages,7,33.5,234.5
22/02/2022,Electric household essentials,1,17,17
22/02/2022,Milk Products,2,12.5,25
22/02/2022,Computers and electric accessories,5,11,55
22/02/2022,Food,6,17,102
22/02/2022,Patisserie,7,23,161
22/02/2022,Electric household essentials,7,33.5,234.5
22/02/2022,Food,8,33.5,268
22/02/2022,Milk Products,9,5,45
22/02/2022,Computers and electric accessories,10,29,290
23/02/2022,Beverages,1,38,38
23/02/2022,Furniture,2,11,22
23/02/2022,Food,3,5,15
23/02/2022,Furniture,4,5,20
23/02/2022,Beverages,4,30.5,122
23/02/2022,Patisserie,5,15.5,77.5
23/02/2022,Furniture,5,33.5,167.5
23/02/2022,Butchers,5,38,190
23/02/2022,Computers and electric accessories,6,35,210
23/02/2022,Furniture,8,20,160
23/02/2022,Milk Products,9,23,207
23/02/2022,Butchers,10,8,80
23/02/2022,Beverages,10,12.5,125
23/02/2022,Beverages,10,41,410
24/02/2022,Beverages,1,20,20
24/02/2022,Patisserie,2,26,52
24/02/2022,Milk Products,5,9.5,47.5
24/02/2022,Food,6,9.5,57
24/02/2022,Electric household essentials,7,36.5,255.5
24/02/2022,Computers and electric accessories,9,23,207
24/02/2022,Butchers,9,30.5,274.5
24/02/2022,Furniture,10,6.5,65
24/02/2022,Electric household essentials,10,41,410
25/02/2022,Butchers,2,23,46
25/02/2022,Computers and electric accessories,4,8,32
25/02/2022,Food,4,36.5,146
25/02/2022,Beverages,7,26,182
25/02/2022,Milk Products,7,38,266
26/02/2022,Milk Products,1,5,5
26/02/2022,Furniture,1,39.5,39.5
26/02/2022,Patisserie,5,5,25
26/02/2022,Butchers,5,15.5,77.5
26/02/2022,Beverages,8,21.5,172
26/02/2022,Patisserie,10,20,200
27/02/2022,Furniture,1,5,5
27/02/2022,Butchers,1,6.5,6.5
27/02/2022,Electric household essentials,2,9.5,19
27/02/2022,Milk Products,3,30.5,91.5
27/02/2022,Food,5,23,115
27/02/2022,Milk Products,5,24.5,122.5
27/02/2022,Electric household essentials,5,41,205
27/02/2022,Patisserie,6,17,102
27/02/2022,Furniture,7,6.5,45.5
27/02/2022,Milk Products,8,12.5,100
27/02/2022,Electric household essentials,9,15.5,139.5
27/02/2022,Electric household essentials,9,29,261
27/02/2022,Butchers,10,23,230
27/02/2022,Beverages,10,33.5,335
28/02/2022,Food,3,18.5,55.5
28/02/2022,Butchers,6,36.5,219
28/02/2022,Patisserie,7,12.5,87.5
28/02/2022,Beverages,7,15.5,108.5
28/02/2022,Computers and electric accessories,7,38,266
28/02/2022,Furniture,8,6.5,52
28/02/2022,Beverages,8,14,112
28/02/2022,Electric household essentials,8,41,328
28/02/2022,Computers and electric accessories,9,29,261
28/02/2022,Beverages,9,33.5,301.5
28/02/2022,Furniture,9,33.5,301.5
28/02/2022,Butchers,10,33.5,335
01/03/2022,Milk Products,2,5,10
01/03/2022,Patisserie,2,20,40
01/03/2022,Furniture,3,12.5,37.5
01/03/2022,Electric household essentials,3,17,51
01/03/2022,Beverages,3,21.5,64.5
01/03/2022,Milk Products,3,26,78
01/03/2022,Food,4,8,32
01/03/2022,Food,5,30.5,152.5
01/03/2022,Patisserie,5,38,190
01/03/2022,Computers and electric accessories,6,12.5,75
01/03/2022,Beverages,6,15.5,93
01/03/2022,Electric household essentials,7,36.5,255.5
01/03/2022,Food,8,23,184
01/03/2022,Computers and electric accessories,8,23,184
01/03/2022,Butchers,8,33.5,268
01/03/2022,Electric household essentials,9,23,207
01/03/2022,Furniture,10,33.5,335
02/03/2022,Furniture,1,11,11
02/03/2022,Furniture,2,11,22
02/03/2022,Patisserie,2,12.5,25
02/03/2022,Patisserie,2,15.5,31
02/03/2022,Furniture,2,21.5,43
02/03/2022,Milk Products,3,9.5,28.5
02/03/2022,Food,4,24.5,98
02/03/2022,Patisserie,4,30.5,122
02/03/2022,Food,5,12.5,62.5
02/03/2022,Computers and electric accessories,5,14,70
02/03/2022,Electric household essentials,5,29,145
02/03/2022,Furniture,5,38,190
02/03/2022,Milk Products,6,15.5,93
02/03/2022,Patisserie,7,14,98
02/03/2022,Computers and electric accessories,7,18.5,129.5
02/03/2022,Furniture,7,41,287
02/03/2022,Milk Products,8,39.5,316
